config,config_idx,K,world_idx,seed,arm,budget,found,cost,expansions,closed,opt_cost
C_hard_maze,0,2,13,31258044,h_next,100,False,nan,100,100,2.5906495670233083
C_hard_maze,0,2,13,31258044,h_legsum,100,False,nan,100,100,2.5906495670233083
C_hard_maze,0,2,13,31258044,h_oracle,100,True,2.590649567023308,26,26,2.5906495670233083
C_hard_maze,0,2,13,31258044,h_next,200,False,nan,200,200,2.5906495670233083
C_hard_maze,0,2,13,31258044,h_legsum,200,False,nan,200,200,2.5906495670233083
C_hard_maze,0,2,13,31258044,h_oracle,200,True,2.590649567023308,26,26,2.5906495670233083
C_hard_maze,0,2,13,31258044,h_next,400,True,2.590649567023308,382,382,2.5906495670233083
C_hard_maze,0,2,13,31258044,h_legsum,400,True,2.590649567023308,262,262,2.5906495670233083
C_hard_maze,0,2,13,31258044,h_oracle,400,True,2.590649567023308,26,26,2.5906495670233083
C_hard_maze,0,2,13,31258044,h_next,800,True,2.590649567023308,382,382,2.5906495670233083
C_hard_maze,0,2,13,31258044,h_legsum,800,True,2.590649567023308,262,262,2.5906495670233083
C_hard_maze,0,2,13,31258044,h_oracle,800,True,2.590649567023308,26,26,2.5906495670233083
C_hard_maze,0,2,13,31258044,h_next,1600,True,2.590649567023308,382,382,2.5906495670233083
C_hard_maze,0,2,13,31258044,h_legsum,1600,True,2.590649567023308,262,262,2.5906495670233083
C_hard_maze,0,2,13,31258044,h_oracle,1600,True,2.590649567023308,26,26,2.5906495670233083
C_hard_maze,0,2,13,31258044,h_next,3200,True,2.590649567023308,382,382,2.5906495670233083
C_hard_maze,0,2,13,31258044,h_legsum,3200,True,2.590649567023308,262,262,2.5906495670233083
C_hard_maze,0,2,13,31258044,h_oracle,3200,True,2.590649567023308,26,26,2.5906495670233083
C_hard_maze,0,2,14,31281801,h_next,100,False,nan,100,100,4.226609945341517
C_hard_maze,0,2,14,31281801,h_legsum,100,False,nan,100,100,4.226609945341517
C_hard_maze,0,2,14,31281801,h_oracle,100,True,4.226609945341518,46,46,4.226609945341517
C_hard_maze,0,2,14,31281801,h_next,200,False,nan,200,200,4.226609945341517
C_hard_maze,0,2,14,31281801,h_legsum,200,False,nan,200,200,4.226609945341517
C_hard_maze,0,2,14,31281801,h_oracle,200,True,4.226609945341518,46,46,4.226609945341517
C_hard_maze,0,2,14,31281801,h_next,400,False,nan,400,400,4.226609945341517
C_hard_maze,0,2,14,31281801,h_legsum,400,True,4.226609945341518,380,380,4.226609945341517
C_hard_maze,0,2,14,31281801,h_oracle,400,True,4.226609945341518,46,46,4.226609945341517
C_hard_maze,0,2,14,31281801,h_next,800,True,4.226609945341518,404,404,4.226609945341517
C_hard_maze,0,2,14,31281801,h_legsum,800,True,4.226609945341518,380,380,4.226609945341517
C_hard_maze,0,2,14,31281801,h_oracle,800,True,4.226609945341518,46,46,4.226609945341517
C_hard_maze,0,2,14,31281801,h_next,1600,True,4.226609945341518,404,404,4.226609945341517
C_hard_maze,0,2,14,31281801,h_legsum,1600,True,4.226609945341518,380,380,4.226609945341517
C_hard_maze,0,2,14,31281801,h_oracle,1600,True,4.226609945341518,46,46,4.226609945341517
C_hard_maze,0,2,14,31281801,h_next,3200,True,4.226609945341518,404,404,4.226609945341517
C_hard_maze,0,2,14,31281801,h_legsum,3200,True,4.226609945341518,380,380,4.226609945341517
C_hard_maze,0,2,14,31281801,h_oracle,3200,True,4.226609945341518,46,46,4.226609945341517
C_hard_maze,0,2,15,31297639,h_next,100,False,nan,100,100,4.668448678982942
C_hard_maze,0,2,15,31297639,h_legsum,100,False,nan,100,100,4.668448678982942
C_hard_maze,0,2,15,31297639,h_oracle,100,True,4.668448678982941,54,54,4.668448678982942
C_hard_maze,0,2,15,31297639,h_next,200,False,nan,200,200,4.668448678982942
C_hard_maze,0,2,15,31297639,h_legsum,200,False,nan,200,200,4.668448678982942
C_hard_maze,0,2,15,31297639,h_oracle,200,True,4.668448678982941,54,54,4.668448678982942
C_hard_maze,0,2,15,31297639,h_next,400,False,nan,400,400,4.668448678982942
C_hard_maze,0,2,15,31297639,h_legsum,400,False,nan,400,400,4.668448678982942
C_hard_maze,0,2,15,31297639,h_oracle,400,True,4.668448678982941,54,54,4.668448678982942
C_hard_maze,0,2,15,31297639,h_next,800,True,4.668448678982941,529,529,4.668448678982942
C_hard_maze,0,2,15,31297639,h_legsum,800,True,4.668448678982941,479,479,4.668448678982942
C_hard_maze,0,2,15,31297639,h_oracle,800,True,4.668448678982941,54,54,4.668448678982942
C_hard_maze,0,2,15,31297639,h_next,1600,True,4.668448678982941,529,529,4.668448678982942
C_hard_maze,0,2,15,31297639,h_legsum,1600,True,4.668448678982941,479,479,4.668448678982942
C_hard_maze,0,2,15,31297639,h_oracle,1600,True,4.668448678982941,54,54,4.668448678982942
C_hard_maze,0,2,15,31297639,h_next,3200,True,4.668448678982941,529,529,4.668448678982942
C_hard_maze,0,2,15,31297639,h_legsum,3200,True,4.668448678982941,479,479,4.668448678982942
C_hard_maze,0,2,15,31297639,h_oracle,3200,True,4.668448678982941,54,54,4.668448678982942
C_hard_maze,0,2,16,31337234,h_next,100,False,nan,100,100,2.6605376955724434
C_hard_maze,0,2,16,31337234,h_legsum,100,False,nan,100,100,2.6605376955724434
C_hard_maze,0,2,16,31337234,h_oracle,100,True,2.6605376955724434,32,32,2.6605376955724434
